ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
SEN,Nord et Est,5811898,Households with at least one insecticide-treated mosquito net (ITN),31.5,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444016.0,1444100.0,Region,Nord et Est,0,,0.0,1.0,MLNETPHITN,SNDHS2005444016,2005,DHS,1136.0,1798.0,,,
SEN,Saint Louis,1610804,Households with at least one insecticide-treated mosquito net (ITN),31.1,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444018.0,1444110.0,Region,..Saint Louis,0,,0.0,1.0,MLNETPHITN,SNDHS2005444018,2005,DHS,480.0,641.0,,,1.0
SEN,Louga,4208767,Households with at least one insecticide-treated mosquito net (ITN),18.9,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444009.0,1444120.0,Region,..Louga,0,,0.0,1.0,MLNETPHITN,SNDHS2005444009,2005,DHS,411.0,609.0,,,1.0
SEN,Matam,6786036,Households with at least one insecticide-treated mosquito net (ITN),39,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444017.0,1444130.0,Region,..Matam,0,,0.0,1.0,MLNETPHITN,SNDHS2005444017,2005,DHS,239.0,552.0,,,1.0
SEN,Ouest,7517292,Households with at least one insecticide-treated mosquito net (ITN),14.7,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444001.0,1444200.0,Region,Ouest,0,,0.0,1.0,MLNETPHITN,SNDHS2005444001,2005,DHS,3074.0,1641.0,,,
SEN,Dakar,2855421,Households with at least one insecticide-treated mosquito net (ITN),13.1,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444002.0,1444210.0,Region,..Dakar,0,,0.0,1.0,MLNETPHITN,SNDHS2005444002,2005,DHS,2111.0,883.0,,,1.0
SEN,Thiès,3408438,Households with at least one insecticide-treated mosquito net (ITN),18.3,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444003.0,1444220.0,Region,..Thiès,0,,0.0,1.0,MLNETPHITN,SNDHS2005444003,2005,DHS,963.0,758.0,,,1.0
SEN,Centre,1066385,Households with at least one insecticide-treated mosquito net (ITN),18.2,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444004.0,1444300.0,Region,Centre,0,,0.0,1.0,MLNETPHITN,SNDHS2005444004,2005,DHS,2315.0,2702.0,,,
SEN,Diourbel,4453697,Households with at least one insecticide-treated mosquito net (ITN),14.2,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444005.0,1444310.0,Region,..Diourbel,0,,0.0,1.0,MLNETPHITN,SNDHS2005444005,2005,DHS,727.0,706.0,,,1.0
SEN,Fatick,3526471,Households with at least one insecticide-treated mosquito net (ITN),19.8,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444010.0,1444315.0,Region,..Fatick,0,,0.0,1.0,MLNETPHITN,SNDHS2005444010,2005,DHS,427.0,649.0,,,1.0
SEN,Kaolack (2005),5949205,Households with at least one insecticide-treated mosquito net (ITN),20.7,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444006.0,1444320.0,Region,..Kaolack (2005),0,,0.0,1.0,MLNETPHITN,SNDHS2005444006,2005,DHS,750.0,738.0,,,1.0
SEN,Sud,7157260,Households with at least one insecticide-treated mosquito net (ITN),31.2,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444011.0,1444400.0,Region,Sud,0,,0.0,1.0,MLNETPHITN,SNDHS2005444011,2005,DHS,887.0,1271.0,,,
SEN,Ziguinchor,5273817,Households with at least one insecticide-treated mosquito net (ITN),23.6,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444012.0,1444410.0,Region,..Ziguinchor,0,,0.0,1.0,MLNETPHITN,SNDHS2005444012,2005,DHS,327.0,581.0,,,1.0
SEN,Kolda (2005),1604576,Households with at least one insecticide-treated mosquito net (ITN),35.7,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444013.0,1444420.0,Region,..Kolda (2005),0,,0.0,1.0,MLNETPHITN,SNDHS2005444013,2005,DHS,560.0,690.0,,,1.0
SEN,Tambacounda (2005),4917173,Households with at least one insecticide-treated mosquito net (ITN),27.7,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_ITN,124661020.0,I,444019.0,1444480.0,Region,..Tambacounda (2005),0,,0.0,1.0,MLNETPHITN,SNDHS2005444019,2005,DHS,417.0,605.0,,,1.0
SEN,Nord et Est,4408731,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,6.2,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_IT2,124661100.0,I,444016.0,1444100.0,Region,Nord et Est,0,,0.0,1.0,MLNETPHIT2,SNDHS2005444016,2005,DHS,1135.0,1797.0,,,
SEN,Saint Louis,6262791,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,6.8,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_IT2,124661100.0,I,444018.0,1444110.0,Region,..Saint Louis,0,,0.0,1.0,MLNETPHIT2,SNDHS2005444018,2005,DHS,479.0,640.0,,,1.0
SEN,Louga,4456784,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,1.4,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_IT2,124661100.0,I,444009.0,1444120.0,Region,..Louga,0,,0.0,1.0,MLNETPHIT2,SNDHS2005444009,2005,DHS,411.0,609.0,,,1.0
SEN,Matam,1597158,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,7.6,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_IT2,124661100.0,I,444017.0,1444130.0,Region,..Matam,0,,0.0,1.0,MLNETPHIT2,SNDHS2005444017,2005,DHS,239.0,552.0,,,1.0
SEN,Ouest,7519647,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,2.3,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_IT2,124661100.0,I,444001.0,1444200.0,Region,Ouest,0,,0.0,1.0,MLNETPHIT2,SNDHS2005444001,2005,DHS,3040.0,1626.0,,,
SEN,Dakar,4318099,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,2.1,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_IT2,124661100.0,I,444002.0,1444210.0,Region,..Dakar,0,,0.0,1.0,MLNETPHIT2,SNDHS2005444002,2005,DHS,2078.0,869.0,,,1.0
SEN,Thiès,1617624,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,2.6,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_IT2,124661100.0,I,444003.0,1444220.0,Region,..Thiès,0,,0.0,1.0,MLNETPHIT2,SNDHS2005444003,2005,DHS,962.0,757.0,,,1.0
SEN,Centre,5281564,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,1.9,1,SN,Senegal,2005,SN2005DHS,ML_NETP_H_IT2,124661100.0,I,444004.0,1444300.0,Region,Centre,0,,0.0,1.0,MLNETPHIT2,SNDHS2005444004,2005,DHS,2312.0,2698.0,,,
