GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
SDGPM25,Concentrations of fine particulate matter (PM2.5),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/concentrations-of-fine-particulate-matter-%28pm2-5%29,2012,2012,2012,AFR,Africa,SEN,Senegal,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,42.8783,42.88 [25.91-59.55],25.91333,59.54569
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,1999,1999,1999,AFR,Africa,SEN,Senegal,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.621622152,0.62 [0.35 - 0.98],0.351861595,0.97739332
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2015,2015,2015,AFR,Africa,SEN,Senegal,SEX,SEX_FMLE,Female,0.669,1 [1-1],0.56,0.762
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-proportion,1993,1993,1993,AFR,Africa,SEN,Senegal,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,77.3,77.3 [66 - 86.6],66.0,86.6
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2000,2000,2000,AFR,Africa,SEN,Senegal,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.386686498,0.39 [0.11 - 0.86],0.112882712,0.862608341
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2012,2012,2012,AFR,Africa,SEN,Senegal,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,1.169577833,1.17 [0.73 - 1.72],0.730244028,1.721713561
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2013,2013,2013,AFR,Africa,SEN,Senegal,SEX,SEX_MLE,Male,3872.957,3873 [3168-4498],3168.055,4497.596
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,1998,1998,1998,AFR,Africa,SEN,Senegal,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.0,0 [0 - 0.02],0.0,0.017095646
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2017,2017,2017,AFR,Africa,SEN,Senegal,SEX,SEX_MLE,Male,49.411,49 [40-58],39.85,58.058
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2022,2022,2022,AFR,Africa,SEN,Senegal,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.5,0.5 [0 - 2.8],0.0,2.8
AIR_35,Joint effects of air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-and-household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2019,2019,2019,AFR,Africa,SEN,Senegal,SEX,SEX_BTSX,Both sexes,4567.735,4568 [3756-5289],3756.407,5288.913
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,1990,1990,1990,AFR,Africa,SEN,Senegal,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,44.5,44.5 [25.8 - 63],25.8,63.0
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2017,2017,2017,AFR,Africa,SEN,Senegal,SEX,SEX_BTSX,Both sexes,1050.826,1051 [821-1252],821.37,1252.47
AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-deaths,2012,2012,2012,AFR,Africa,SEN,Senegal,SEX,SEX_MLE,Male,295.784,296 [181-498],181.299,497.75
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-attributed-to-unintentional-poisoning-%28per-100-000-population%29,2010,2010,2010,AFR,Africa,SEN,Senegal,SEX,SEX_FMLE,Female,0.801438887,0.8 [0.5-1.4],0.454276098,1.370095995
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys-%28per-100-000-age-standardized%29,2011,2011,2011,AFR,Africa,SEN,Senegal,SEX,SEX_BTSX,Both sexes,1607.277,1607 [1193-1926],1193.171,1925.578
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2010,2010,2010,AFR,Africa,SEN,Senegal,SEX,SEX_BTSX,Both sexes,4557.558,4558 [3902-5202],3901.717,5202.037
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-%28per-100-000-population-age-standardized%29,2017,2017,2017,AFR,Africa,SEN,Senegal,SEX,SEX_BTSX,Both sexes,717.257,717 [425-1008],424.694,1007.647
AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-dalys,2015,2015,2015,AFR,Africa,SEN,Senegal,SEX,SEX_BTSX,Both sexes,44088.037,44 088 [34 484-54 396],34483.891,54395.814
AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-deaths,2013,2013,2013,AFR,Africa,SEN,Senegal,SEX,SEX_FMLE,Female,1142.661,1143 [675-1629],674.971,1628.873
